LocalTime,Symbol,EventType,Side,FillSize,FillPrice,FillExchange,SymbolBought,SymbolSold,SymbolPosition,SymbolNotional,ExchangeBought,ExchangeSold,TotalBought,TotalSold,TotalBoughtNotional,TotalSoldNotional
10:04:57.000,LMA,TRADE,b,21336,7.03,NYSE,35560,49784,-14224,149992.08,305824,64209,500300,400003,149992.08,446989.2
10:05:23.000,LMA,TRADE,t,7112,7.03,NASDAQ,35560,56896,-21336,49997.36,194476,342906,500300,407115,149992.08,49997.36
10:06:17.000,LMA,TRADE,t,14224,7.03,NASDAQ,35560,71120,-35560,99994.72,194476,357130,500300,421339,149992.08,99994.72
10:06:41.000,LMA,TRADE,b,14224,7.03,NYSE,49784,71120,-21336,99994.72,320048,64209,514524,421339,99994.72,99994.72
10:07:22.000,LMA,TRADE,t,14224,7.04,NASDAQ,49784,85344,-35560,100136.96,194476,371354,514524,435563,99994.72,100136.96
10:07:27.000,LMA,TRADE,b,7112,7.03,NASDAQ,56896,85344,-28448,49997.36,201588,371354,521636,435563,49997.36,100136.96
10:08:05.000,LMA,TRADE,b,7112,7.03,NASDAQ,64008,85344,-21336,49997.36,208700,371354,528748,435563,49997.36,100136.96
10:08:37.000,LMA,TRADE,t,7112,7.04,NASDAQ,64008,92456,-28448,50068.48,208700,378466,528748,442675,49997.36,50068.48
10:09:04.000,LMA,TRADE,t,7112,7.04,NASDAQ,64008,99568,-35560,50068.48,208700,385578,528748,449787,49997.36,50068.48
10:09:09.000,LMA,TRADE,b,3556,7.04,NYSE,67564,99568,-32004,25034.24,323604,64209,532304,449787,25034.24,50068.48
10:09:34.000,LMA,TRADE,t,3556,7.04,NYSE,67564,103124,-35560,25034.24,323604,67765,532304,453343,25034.24,25034.24
10:10:03.000,LMA,TRADE,b,7112,7.04,NYSE,74676,103124,-28448,50068.48,330716,67765,539416,453343,50068.48,25034.24
10:10:31.000,LMA,TRADE,b,7112,7.04,NASDAQ,81788,103124,-21336,50068.48,215812,385578,546528,453343,50068.48,25034.24
10:10:43.000,LMA,TRADE,b,7112,7.04,NASDAQ,88900,103124,-14224,50068.48,222924,385578,553640,453343,50068.48,25034.24
10:11:32.000,LMA,TRADE,t,7112,7.04,NASDAQ,88900,110236,-21336,50068.48,222924,392690,553640,460455,50068.48,50068.48
10:11:38.000,LMA,TRADE,t,7112,7.04,NASDAQ,88900,117348,-28448,50068.48,222924,399802,553640,467567,50068.48,50068.48
10:12:27.000,LMA,TRADE,t,7112,7.04,NASDAQ,88900,124460,-35560,50068.48,222924,406914,553640,474679,50068.48,50068.48
10:12:28.000,LMA,TRADE,b,21336,7.04,NYSE,110236,124460,-14224,150205.44,352052,67765,574976,474679,150205.44,50068.48
10:12:59.000,LMA,TRADE,t,21336,7.04,NASDAQ,110236,145796,-35560,150205.44,222924,428250,574976,496015,150205.44,150205.44
10:13:09.000,LMA,TRADE,b,7112,7.05,NYSE,117348,145796,-28448,50139.6,359164,67765,582088,496015,50139.6,150205.44
10:13:15.000,LMA,TRADE,t,7112,7.05,NASDAQ,117348,152908,-35560,50139.6,222924,435362,582088,503127,50139.6,50139.6
10:14:15.000,LMA,TRADE,b,7112,7.06,NYSE,124460,152908,-28448,50210.72,366276,67765,589200,503127,50210.72,50139.6
10:14:35.000,LMA,TRADE,t,7112,7.07,NASDAQ,124460,160020,-35560,50281.84,222924,442474,589200,510239,50210.72,50281.84
10:15:21.000,LMA,TRADE,b,7112,7.07,NYSE,131572,160020,-28448,50281.84,373388,67765,596312,510239,50281.84,50281.84
10:15:48.000,LMA,TRADE,t,7112,7.07,NASDAQ,131572,167132,-35560,50281.84,222924,449586,596312,517351,50281.84,50281.84
10:15:53.000,ALY,TRADE,t,7112,9.39,NYSE,0,7112,-7112,66781.68,373388,74877,596312,524463,50281.84,66781.68
10:16:32.000,ALY,TRADE,b,7112,9.38,NASDAQ,7112,7112,0,66710.56,230036,449586,603424,524463,66710.56,66781.68
10:16:47.000,ALY,TRADE,t,7112,9.39,NASDAQ,7112,14224,-7112,66781.68,230036,456698,603424,531575,66710.56,66781.68
10:17:34.000,ALY,TRADE,b,7112,9.38,NASDAQ,14224,14224,0,66710.56,237148,456698,610536,531575,66710.56,66781.68
10:18:27.000,LMA,TRADE,b,14224,7.03,NASDAQ,145796,167132,-21336,99994.72,251372,456698,624760,531575,99994.72,66781.68
10:18:53.000,LMA,TRADE,t,7112,7.03,NASDAQ,145796,174244,-28448,49997.36,251372,463810,624760,538687,99994.72,49997.36
10:19:30.000,LMA,TRADE,t,7112,7.03,NASDAQ,145796,181356,-35560,49997.36,251372,470922,624760,545799,99994.72,49997.36
10:20:00.000,W,TRADE,t,7112,5.75,NASDAQ,14224,21336,-7112,40894.0,251372,478034,624760,552911,99994.72,40894.0
10:20:56.000,W,TRADE,t,7112,5.75,NYSE,14224,28448,-14224,40894.0,373388,81989,624760,560023,99994.72,40894.0
10:20:58.000,W,TRADE,b,7112,5.75,NASDAQ,21336,28448,-7112,40894.0,258484,478034,631872,560023,40894.0,40894.0
10:21:13.000,W,TRADE,b,7112,5.75,NASDAQ,28448,28448,0,40894.0,265596,478034,638984,560023,40894.0,40894.0
10:21:30.000,LMA,TRADE,t,7112,2.22,NASDAQ,145796,188468,-42672,15788.64,265596,485146,638984,567135,40894.0,15788.64
10:21:35.000,LMA,TRADE,t,7112,2.22,NYSE,145796,195580,-49784,15788.64,373388,89101,638984,574247,40894.0,15788.64
10:22:35.000,LMA,TRADE,b,7112,2.22,NASDAQ,152908,195580,-42672,15788.64,272708,485146,646096,574247,15788.64,15788.64
10:23:00.000,LMA,TRADE,t,7112,2.22,NASDAQ,152908,202692,-49784,15788.64,272708,492258,646096,581359,15788.64,15788.64
10:23:48.000,LMA,TRADE,b,7112,10.62,NYSE,160020,202692,-42672,75529.44,380500,89101,653208,581359,75529.44,15788.64
10:23:51.000,LMA,TRADE,t,7112,7.04,NASDAQ,160020,209804,-49784,50068.48,272708,499370,653208,588471,75529.44,50068.48
10:24:03.000,LMA,TRADE,b,7112,7.04,NASDAQ,167132,209804,-42672,50068.48,279820,499370,660320,588471,50068.48,50068.48
10:24:52.000,LMA,TRADE,t,7112,10.62,NASDAQ,167132,216916,-49784,75529.44,279820,506482,660320,595583,50068.48,75529.44
10:25:36.000,H,TRADE,b,7112,8.27,NASDAQ,7112,0,7112,58816.24,286932,506482,667432,595583,58816.24,75529.44
10:26:28.000,H,TRADE,b,7112,8.27,NYSE,14224,0,14224,58816.24,387612,89101,674544,595583,58816.24,75529.44
10:26:43.000,H,TRADE,t,7112,8.27,NASDAQ,14224,7112,7112,58816.24,286932,513594,674544,602695,58816.24,58816.24
10:27:10.000,H,TRADE,t,7112,8.27,NASDAQ,14224,14224,0,58816.24,286932,520706,674544,609807,58816.24,58816.24
10:27:30.000,H,TRADE,b,7112,8.27,NASDAQ,21336,14224,7112,58816.24,294044,520706,681656,609807,58816.24,58816.24
10:27:59.000,H,TRADE,t,7112,8.27,NASDAQ,21336,21336,0,58816.24,294044,527818,681656,616919,58816.24,58816.24
10:28:18.000,H,TRADE,b,7112,8.27,NASDAQ,28448,21336,7112,58816.24,301156,527818,688768,616919,58816.24,58816.24
10:28:49.000,H,TRADE,t,7112,8.27,NASDAQ,28448,28448,0,58816.24,301156,534930,688768,624031,58816.24,58816.24
10:29:38.000,LMA,TRADE,b,14011,20.98,NYSE,181143,216916,-35773,293950.78,401623,89101,702779,624031,293950.78,58816.24
10:30:23.000,LMA,TRADE,b,14224,20.98,NASDAQ,195367,216916,-21549,298419.52,315380,534930,717003,624031,298419.52,58816.24
10:30:59.000,LMA,TRADE,b,355,20.98,NASDAQ,195722,216916,-21194,7447.9,315735,534930,717358,624031,7447.9,58816.24
10:31:34.000,LMA,TRADE,b,6970,20.98,NASDAQ,202692,216916,-14224,146230.6,322705,534930,724328,624031,146230.6,58816.24
10:32:19.000,LMA,TRADE,b,14224,2.22,NASDAQ,216916,216916,0,31577.28,336929,534930,738552,624031,31577.28,58816.24
10:32:53.000,LMA,TRADE,t,7112,2.22,NASDAQ,216916,224028,-7112,15788.64,336929,542042,738552,631143,31577.28,15788.64
10:33:17.000,LMA,TRADE,t,7112,2.22,NYSE,216916,231140,-14224,15788.64,401623,96213,738552,638255,31577.28,15788.64
10:33:30.000,LMA,TRADE,b,7112,2.22,NASDAQ,224028,231140,-7112,15788.64,344041,542042,745664,638255,15788.64,15788.64
10:33:47.000,LMA,TRADE,b,7112,2.22,NASDAQ,231140,231140,0,15788.64,351153,542042,752776,638255,15788.64,15788.64
10:34:03.000,LMA,TRADE,t,7112,2.22,NASDAQ,231140,238252,-7112,15788.64,351153,549154,752776,645367,15788.64,15788.64
10:34:08.000,LMA,TRADE,b,7112,2.22,NASDAQ,238252,238252,0,15788.64,358265,549154,759888,645367,15788.64,15788.64
10:34:54.000,LMA,TRADE,b,85347,2.55,NASDAQ,323599,238252,85347,217634.85,443612,549154,845235,645367,217634.85,15788.64
10:35:15.000,LMA,TRADE,b,7112,2.55,NYSE,330711,238252,92459,18135.6,408735,96213,852347,645367,18135.6,15788.64
10:36:07.000,LMA,TRADE,b,7112,2.55,NYSE,337823,238252,99571,18135.6,415847,96213,859459,645367,18135.6,15788.64
10:36:47.000,LMA,TRADE,b,7112,2.55,NASDAQ,344935,238252,106683,18135.6,450724,549154,866571,645367,18135.6,15788.64
10:37:42.000,LMA,TRADE,b,7112,2.55,NYSE,352047,238252,113795,18135.6,422959,96213,873683,645367,18135.6,15788.64
10:38:18.000,LMA,TRADE,b,92459,2.55,NYSE,444506,238252,206254,235770.45,515418,96213,966142,645367,235770.45,15788.64
10:39:07.000,LMA,TRADE,t,85347,2.55,NASDAQ,444506,323599,120907,217634.85,450724,634501,966142,730714,235770.45,217634.85
10:39:34.000,LMA,TRADE,t,7112,2.55,NASDAQ,444506,330711,113795,18135.6,450724,641613,966142,737826,235770.45,18135.6
10:40:33.000,LMA,TRADE,b,7112,2.55,NASDAQ,451618,330711,120907,18135.6,457836,641613,973254,737826,18135.6,18135.6
10:41:20.000,LMA,TRADE,b,78235,2.54,NASDAQ,529853,330711,199142,198716.9,536071,641613,1051489,737826,198716.9,18135.6
10:41:37.000,LMA,TRADE,b,7112,2.55,NASDAQ,536965,330711,206254,18135.6,543183,641613,1058601,737826,18135.6,18135.6
10:41:42.000,LMA,TRADE,t,7112,2.55,NASDAQ,536965,337823,199142,18135.6,543183,648725,1058601,744938,18135.6,18135.6
10:42:27.000,LMA,TRADE,t,7112,2.55,NASDAQ,536965,344935,192030,18135.6,543183,655837,1058601,752050,18135.6,18135.6
10:42:54.000,LMA,TRADE,t,7112,2.55,NASDAQ,536965,352047,184918,18135.6,543183,662949,1058601,759162,18135.6,18135.6
10:43:36.000,LMA,TRADE,t,92459,2.55,NASDAQ,536965,444506,92459,235770.45,543183,755408,1058601,851621,18135.6,235770.45
10:44:19.000,LMA,TRADE,t,7112,2.55,NASDAQ,536965,451618,85347,18135.6,543183,762520,1058601,858733,18135.6,18135.6
10:44:50.000,LMA,TRADE,t,7112,2.55,NASDAQ,536965,458730,78235,18135.6,543183,769632,1058601,865845,18135.6,18135.6
10:45:15.000,LMA,TRADE,t,78235,2.55,NASDAQ,536965,536965,0,199499.25,543183,847867,1058601,944080,18135.6,199499.25
10:46:01.000,LMA,TRADE,b,85347,2.54,NASDAQ,622312,536965,85347,216781.38,628530,847867,1143948,944080,216781.38,199499.25
10:46:53.000,LMA,TRADE,t,14224,2.55,NASDAQ,622312,551189,71123,36271.2,628530,862091,1143948,958304,216781.38,36271.2
10:47:11.000,LMA,TRADE,t,71123,2.55,NASDAQ,622312,622312,0,181363.65,628530,933214,1143948,1029427,216781.38,181363.65
10:47:54.000,LMA,TRADE,b,7112,4.69,NASDAQ,629424,622312,7112,33355.28,635642,933214,1151060,1029427,33355.28,181363.65
10:48:07.000,LMA,TRADE,t,7112,4.70,NASDAQ,629424,629424,0,33426.4,635642,940326,1151060,1036539,33355.28,33426.4
10:48:13.000,LMA,TRADE,b,7112,4.70,NYSE,636536,629424,7112,33426.4,522530,96213,1158172,1036539,33426.4,33426.4
10:48:37.000,LMA,TRADE,t,7112,4.70,NASDAQ,636536,636536,0,33426.4,635642,947438,1158172,1043651,33426.4,33426.4
10:49:36.000,LMA,TRADE,t,7112,10.05,NYSE,636536,643648,-7112,71475.6,522530,103325,1158172,1050763,33426.4,71475.6
10:49:45.000,LMA,TRADE,b,7112,10.05,NASDAQ,643648,643648,0,71475.6,642754,947438,1165284,1050763,71475.6,71475.6
10:49:52.000,S,TRADE,b,14224,5.39,NASDAQ,14224,0,14224,76667.36,656978,947438,1179508,1050763,76667.36,71475.6
10:50:09.000,S,TRADE,t,14224,5.39,NASDAQ,14224,14224,0,76667.36,656978,961662,1179508,1064987,76667.36,76667.36
10:51:01.000,ALY,TRADE,t,7112,9.42,NYSE,14224,21336,-7112,66995.04,522530,110437,1179508,1072099,76667.36,66995.04
10:51:39.000,ALY,TRADE,t,7112,9.42,NASDAQ,14224,28448,-14224,66995.04,656978,968774,1179508,1079211,76667.36,66995.04
10:52:26.000,ALY,TRADE,b,7112,9.42,NASDAQ,21336,28448,-7112,66995.04,664090,968774,1186620,1079211,66995.04,66995.04
10:52:44.000,ALY,TRADE,b,7112,9.42,NASDAQ,28448,28448,0,66995.04,671202,968774,1193732,1079211,66995.04,66995.04
10:53:27.000,LMA,TRADE,t,7112,9.94,NYSE,643648,650760,-7112,70693.28,522530,117549,1193732,1086323,66995.04,70693.28
10:54:12.000,LMA,TRADE,b,7112,9.94,NASDAQ,650760,650760,0,70693.28,678314,968774,1200844,1086323,70693.28,70693.28
10:54:45.000,ALY,TRADE,t,7112,9.41,NYSE,28448,35560,-7112,66923.92,522530,124661,1200844,1093435,70693.28,66923.92
10:54:59.000,ALY,TRADE,t,7112,9.41,NYSE,28448,42672,-14224,66923.92,522530,131773,1200844,1100547,70693.28,66923.92
10:55:00.000,ALY,TRADE,b,7112,9.41,NASDAQ,35560,42672,-7112,66923.92,685426,968774,1207956,1100547,66923.92,66923.92
10:55:09.000,ALY,TRADE,t,7112,9.41,NASDAQ,35560,49784,-14224,66923.92,685426,975886,1207956,1107659,66923.92,66923.92
10:55:16.000,ALY,TRADE,b,7112,9.41,NASDAQ,42672,49784,-7112,66923.92,692538,975886,1215068,1107659,66923.92,66923.92
10:55:39.000,ALY,TRADE,b,7112,9.41,NASDAQ,49784,49784,0,66923.92,699650,975886,1222180,1107659,66923.92,66923.92
10:56:04.000,LMA,TRADE,b,56898,1.03,NASDAQ,707658,650760,56898,58604.94,756548,975886,1279078,1107659,58604.94,66923.92
10:56:16.000,LMA,TRADE,t,7112,1.03,NASDAQ,707658,657872,49786,7325.36,756548,982998,1279078,1114771,58604.94,7325.36
10:56:46.000,LMA,TRADE,t,49786,1.03,NASDAQ,707658,707658,0,51279.58,756548,1032784,1279078,1164557,58604.94,51279.58
10:57:42.000,H,TRADE,b,28449,8.25,NASDAQ,56897,28448,28449,234704.25,784997,1032784,1307527,1164557,234704.25,51279.58
10:57:52.000,H,TRADE,b,28449,8.25,NYSE,85346,28448,56898,234704.25,550979,131773,1335976,1164557,234704.25,51279.58
10:58:50.000,H,TRADE,t,7112,8.26,NASDAQ,85346,35560,49786,58745.12,784997,1039896,1335976,1171669,234704.25,58745.12
10:58:51.000,H,TRADE,t,21336,8.26,NASDAQ,85346,56896,28450,176235.36,784997,1061232,1335976,1193005,234704.25,176235.36
10:59:16.000,H,TRADE,t,28449,8.26,NASDAQ,85346,85345,1,234988.74,784997,1089681,1335976,1221454,234704.25,234988.74
11:00:03.000,H,TRADE,b,28449,8.25,NASDAQ,113795,85345,28450,234704.25,813446,1089681,1364425,1221454,234704.25,234988.74
11:01:02.000,H,TRADE,t,28449,8.26,NASDAQ,113795,113794,1,234988.74,813446,1118130,1364425,1249903,234704.25,234988.74
11:01:59.000,S,TRADE,b,7112,5.39,NASDAQ,21336,14224,7112,38333.68,820558,1118130,1371537,1249903,38333.68,234988.74
11:02:03.000,S,TRADE,t,7112,5.39,NASDAQ,21336,21336,0,38333.68,820558,1125242,1371537,1257015,38333.68,38333.68
11:02:39.000,S,TRADE,b,7112,2.17,NYSE,28448,21336,7112,15433.04,558091,131773,1378649,1257015,15433.04,38333.68
11:03:33.000,S,TRADE,b,7112,2.17,NYSE,35560,21336,14224,15433.04,565203,131773,1385761,1257015,15433.04,38333.68
11:04:03.000,S,TRADE,b,7112,2.17,NASDAQ,42672,21336,21336,15433.04,827670,1125242,1392873,1257015,15433.04,38333.68
11:04:18.000,S,TRADE,b,7112,2.17,NYSE,49784,21336,28448,15433.04,572315,131773,1399985,1257015,15433.04,38333.68
11:05:09.000,S,TRADE,s,7112,2.18,NASDAQ,49784,28448,21336,15504.16,827670,1132354,1399985,1264127,15433.04,15504.16
11:05:39.000,S,TRADE,b,14224,2.17,NYSE,64008,28448,35560,30866.08,586539,131773,1414209,1264127,30866.08,15504.16
11:06:00.000,S,TRADE,b,7112,2.17,NYSE,71120,28448,42672,15433.04,593651,131773,1421321,1264127,15433.04,15504.16
11:06:14.000,S,TRADE,b,7112,2.17,NYSE,78232,28448,49784,15433.04,600763,131773,1428433,1264127,15433.04,15504.16
11:06:18.000,S,TRADE,b,7112,2.17,NYSE,85344,28448,56896,15433.04,607875,131773,1435545,1264127,15433.04,15504.16
11:07:01.000,S,TRADE,b,7112,2.17,NYSE,92456,28448,64008,15433.04,614987,131773,1442657,1264127,15433.04,15504.16
11:07:02.000,S,TRADE,b,7112,2.17,NYSE,99568,28448,71120,15433.04,622099,131773,1449769,1264127,15433.04,15504.16
11:07:09.000,S,TRADE,b,7112,2.17,NASDAQ,106680,28448,78232,15433.04,834782,1132354,1456881,1264127,15433.04,15504.16
11:08:02.000,S,TRADE,s,7112,2.18,NASDAQ,106680,35560,71120,15504.16,834782,1139466,1456881,1271239,15433.04,15504.16
11:08:30.000,S,TRADE,s,7112,2.18,NASDAQ,106680,42672,64008,15504.16,834782,1146578,1456881,1278351,15433.04,15504.16
11:09:06.000,S,TRADE,b,14224,2.17,NASDAQ,120904,42672,78232,30866.08,849006,1146578,1471105,1278351,30866.08,15504.16
11:09:33.000,S,TRADE,b,7112,2.17,NASDAQ,128016,42672,85344,15433.04,856118,1146578,1478217,1278351,15433.04,15504.16
11:09:34.000,S,TRADE,b,7112,2.17,NASDAQ,135128,42672,92456,15433.04,863230,1146578,1485329,1278351,15433.04,15504.16
11:10:21.000,S,TRADE,b,35561,2.17,NASDAQ,170689,42672,128017,77167.37,898791,1146578,1520890,1278351,77167.37,15504.16
11:10:39.000,S,TRADE,b,7112,2.17,NASDAQ,177801,42672,135129,15433.04,905903,1146578,1528002,1278351,15433.04,15504.16
11:10:56.000,S,TRADE,b,7112,2.17,NASDAQ,184913,42672,142241,15433.04,913015,1146578,1535114,1278351,15433.04,15504.16
11:11:11.000,RUFR,NIMN,b,-1111,0.00,NASDAQ,-1111,0,-1111,-0.0,911904,1146578,1534003,1278351,-0.0,15504.16
11:11:42.000,S,TRADE,b,7112,2.17,NASDAQ,192025,42672,149353,15433.04,919016,1146578,1541115,1278351,15433.04,15504.16
